Server Address ,Timeout term, Timeout time
77.171.242.144/19,20230502052740-20230502053740,600.603
100.108.195.190/22,20230502052814-20230502053814,600.560
131.99.245.55/21,20230502052936-20230502053936,600.747
7.26.157.64/26,20230502053009-20230502054009,600.909
176.80.241.77/11,20230502053020-20230502054020,600.779
25.235.153.95/20,20230502053044-20230502054044,600.678
109.128.226.138/22,20230502053252-20230502054252,600.587
17.249.20.229/16,20230502052841-20230502054341,900.601
158.108.74.234/6,20230502053437-20230502054437,600.144
41.197.221.248/25,20230502053539-20230502054539,600.042
37.248.205.53/26,20230502053614-20230502054614,600.076
75.50.142.89/22,20230502053633-20230502054633,600.907
17.249.232.75/16,20230502053848-20230502054848,600.770
62.88.35.118/15,20230502053901-20230502054901,600.611
98.117.176.229/7,20230502054253-20230502055253,600.364
99.52.33.70/7,20230502053756-20230502055256,900.529
164.237.178.116/22,20230502053821-20230502055321,900.496
134.111.246.222/8,20230502054335-20230502055335,600.571
20.165.187.3/7,20230502054431-20230502055431,600.301
81.255.22.77/24,20230502054904-20230502055904,600.384
37.180.153.109/21,20230502054908-20230502055908,600.368
7.26.157.64/26,20230502055009-20230502060009,600.974
25.235.146.247/20,20230502055046-20230502060046,600.937
55.246.196.39/19,20230502055056-20230502060056,600.823
160.75.127.133/16,20230502054640-20230502060140,900.532
87.35.170.5/12,20230502055235-20230502060235,600.792
131.99.245.55/21,20230502054936-20230502060436,900.165
9.111.71.51/19,20230502060320-20230502061320,600.085
158.165.36.254/6,20230502060438-20230502061438,600.910
176.80.241.77/11,20230502060520-20230502061520,600.153
230.5.194.181/21,20230502060602-20230502061602,600.682
177.185.128.137/25,20230502060630-20230502061630,600.614
160.75.127.133/16,20230502060640-20230502061640,600.222
44.177.37.217/27,20230502060806-20230502061806,600.679
55.246.211.30/19,20230502061054-20230502062054,600.127
219.179.100.153/22,20230502060619-20230502062119,900.115
225.180.30.210/13,20230502061209-20230502062209,600.022
105.196.101.86/27,20230502061214-20230502062214,600.317
41.197.221.248/25,20230502061539-20230502062539,600.586
25.235.153.95/20,20230502061544-20230502062544,600.693
37.248.205.53/26,20230502061614-20230502062614,600.014
171.111.162.234/28,20230502061658-20230502062658,600.131
87.35.170.5/12,20230502061735-20230502062735,600.740
77.171.247.219/19,20230502061737-20230502062737,600.620
246.93.20.96/18,20230502061301-20230502062801,900.146
81.255.22.30/24,20230502060907-20230502062907,1200.541
160.75.18.105/16,20230502062645-20230502063645,600.309
25.235.146.247/20,20230502063046-20230502064046,600.963
177.185.128.137/25,20230502063130-20230502064130,600.059
87.34.76.152/12,20230502063233-20230502064233,600.030
11.154.184.213/25,20230502063358-20230502064358,600.700
48.16.93.31/25,20230502063026-20230502064526,900.780
105.196.101.86/27,20230502063714-20230502064714,600.214
9.111.78.84/19,20230502063818-20230502064818,600.489
0.122.8.157/2,20230502063852-20230502064852,600.517
62.89.35.65/15,20230502063900-20230502064900,600.827
131.99.245.55/21,20230502063936-20230502064936,600.176
25.235.153.95/20,20230502064044-20230502065044,600.626
87.35.170.5/12,20230502064235-20230502065235,600.284
186.137.64.199/10,20230502064411-20230502065411,600.743
171.111.162.229/28,20230502064700-20230502065700,600.597
199.4.137.119/1,20230502064723-20230502065723,600.367
56.117.128.85/2,20230502064354-20230502065854,900.118
20.165.187.3/7,20230502064431-20230502065931,900.414
97.231.70.28/26,20230502065008-20230502070008,600.086
17.249.20.229/16,20230502065341-20230502070341,600.007
208.159.246.1/20,20230502065441-20230502070441,600.225
176.84.58.155/11,20230502065521-20230502070521,600.520
219.179.100.153/22,20230502065619-20230502070619,600.400
135.35.117.33/18,20230502065447-20230502070947,900.057
230.5.194.181/21,20230502070102-20230502071102,600.358
160.75.127.133/16,20230502065640-20230502071140,900.348
42.105.108.220/5,20230502065707-20230502071207,900.285
105.196.101.86/27,20230502070214-20230502071214,600.104
158.108.74.234/6,20230502070437-20230502071437,600.445
176.80.241.77/11,20230502070520-20230502071520,600.567
48.16.93.75/25,20230502065528-20230502071528,1200.638
160.75.18.105/16,20230502070645-20230502071645,600.355
62.89.35.65/15,20230502070900-20230502071900,600.453
81.255.22.30/24,20230502070907-20230502071907,600.902
192.187.36.220/20,20230502071019-20230502072019,600.024
9.111.78.84/19,20230502071318-20230502072318,600.927
177.185.128.137/25,20230502071630-20230502072630,600.774
100.108.192.70/22,20230502072316-20230502073316,600.331
164.237.178.116/22,20230502072321-20230502073321,600.414
230.5.194.181/21,20230502072602-20230502073602,600.519
28.129.115.151/16,20230502072651-20230502073651,600.377
203.50.116.77/19,20230502072654-20230502073654,600.905
87.35.170.5/12,20230502072735-20230502073735,600.171
100.108.195.190/22,20230502072814-20230502073814,600.724
11.154.184.229/25,20230502072855-20230502073855,600.325
75.50.142.89/22,20230502073133-20230502074133,600.529
75.50.142.15/22,20230502072636-20230502074136,900.007
0.122.8.157/2,20230502073352-20230502074352,600.915
186.136.5.93/10,20230502073412-20230502074412,600.711
158.108.74.234/6,20230502072937-20230502074437,900.725
176.80.241.77/11,20230502073520-20230502074520,600.567
225.177.190.229/13,20230502073710-20230502074710,600.994
56.66.252.146/10,20230502072849-20230502074849,1200.127
20.7.110.77/7,20230502073430-20230502074930,900.583
97.231.70.52/26,20230502074003-20230502075003,600.169
97.231.70.28/26,20230502074008-20230502075008,600.154
48.16.93.75/25,20230502074028-20230502075028,600.903
25.235.146.247/20,20230502074046-20230502075046,600.803
203.50.116.77/19,20230502074154-20230502075154,600.786
100.108.195.190/22,20230502074314-20230502075314,600.636
